channel_name,tvg_id,match_type,suggested_id,suggested_score
Global CA,,,Global.BC.HD.ca2,0.800
The Hallmark Channel,Hallmark.Channel.HD.us2,exact,,
Hallmark Movies & Mysterie,,,plex.tv.Hallmark.Movies.&.More.plex,0.818
Heroes & Icons (H&I) USA,,,,
HBO USA,HBO.West.us2,exact,,
HBO Hits USA,HBO.Hits.us2,exact,,
HBO Comedy USA,HBO.Comedy.HD.us2,exact,,
HBO Family USA,,,,
HBO Latino USA,HBO.Latino.HD.us2,exact,,
HBO Drama USA,HBO.Drama.us2,exact,,
HBO Movies USA,HBO.Movies.us2,exact,,
HBO Poland,HBO.HD.pl,exact,,
History USA,History.HD.us2,exact,,
Headline News,Headline.News.in,exact,,
HGTV,HGTV.au,exact,,
Happy TV Serbia,,,,
HOT3 Israel,,,,
ITV 1 UK,,,ITV2+1.uk,0.800
ITV 2 UK,,,ITV2+1.uk,0.800
ITV 3 UK,,,ITV3+1.uk,0.800
ITV 4 UK,,,ITV4+1.uk,0.800
ITV Quiz,ITV.Quiz.uk,exact,,
Italia 1 Italy,Italia.1.it,exact,,
Investigation Discovery (ID USA),,,Investigation.Discovery.HD.us2,0.939
ION USA,plex.tv.ION.plex,exact,,
IFC TV USA,IFC.HD.us2,exact,,
Kanal 4 Denmark,Kanal.4.dk,exact,,
Kanal 5 Denmark,Kanal.5.dk,exact,,
Kabel Eins (Kabel 1) DE,,,,
Kanal D Turkey,KANAL.D.HD.tr,exact,,
LaLigaTV UK,,,,
Law & Crime Network,Law.&.Crime.distro,exact,,
LaLiga SmartBank TV,,,,
L'Equipe France,L'Equipe.fr,exact,,
La Sexta Spain,,,laSexta.es,0.933
Liverpool TV (LFC TV),,,,
Logo TV USA,Logo.us2,exact,,
Las Estrellas,Las.Estrellas.ch,exact,,
LCI France,LCI.fr,exact,,
Lifetime Network,Lifetime.br,exact,,
Lifetime Movies Network,,,ALL.Time.MOVIES.in,0.800
La7 Italy,LA7.HD.it,exact,,
LA7d HD+ Italy,LA7D.it,exact,,
Match Football 1 Russia,,,,
Match Football 2 Russia,,,,
Match Football 3 Russia,,,,
Match Premier Russia,,,,
Match TV Russia,,,,
МАТЧ! БОЕЦ Russia,,,,
Movistar Laliga,,,Canal.Movistar.LaLiga.sv,0.833
Movistar Liga de Campeones,,,,
Movistar Deportes Spain,Movistar.Deportes.es,exact,,
Movistar Deportes 2 Spain,Movistar.Deportes.2.es,exact,,
Movistar Deportes 3 Spain,,,Movistar.Deportes.2.es,0.947
Movistar Deportes 4 Spain,,,Movistar.Deportes.2.es,0.947
Movistar Golf Spain,Movistar.Golf.es,exact,,
Motowizja Poland,Motowizja.pl,exact,,
MSG USA,MSG.National.us2,exact,,
MSNBC,MSNBC.au,exact,,
Magnolia Network,Magnolia.Network.ca2,exact,,
M4 Sports Hungary,,,m4sport+.hu,0.875
Movistar Supercopa de España,,,,
MTV UK,MTV.HD.uk,exact,,
MTV USA,,,,
MUTV UK,MUTV.HD.uk,exact,,
M6 France,M6.fr,exact,,
Racer TV USA,RACER.Network.HD.us2,exact,,
Max Sport 1 Croatia,,,,
Max Sport 2 Croatia,,,,
Marquee Sports Network,Marquee.Sports.Network.HD.us2,exact,,
Max Sport 1 Bulgaria,MAX.Sport.1.bg,exact,,
Max Sport 2 Bulgaria,MAX.Sport.2.bg,exact,,
Max Sport 3 Bulgaria,MAX.Sport.3.bg,exact,,
Max Sport 4 Bulgaria,MAX.Sport.4.bg,exact,,
MLB Network USA,MLB.Network.HD.us2,exact,,
MASN USA,,,,
MY9TV USA,,,,
Discovery Turbo,DiscoveryTurbo.au,exact,,
METV USA,MeTV.Plus.us2,exact,,
MDR DE,MDR.de,exact,,
Mundotoro TV Spain,,,,
Monumental Sports Network,Monumental.Sports.Network.HD.us2,exact,,
MTV Denmark,MTV.dk,exact,,
MGM+ USA / Epix,,,,
NBC10 Philadelphia,,,,
NHL Network USA,NHL.Network.HD.us2,exact,,
NFL RedZone,NFL.RedZone.HD.us2,exact,,
Nova Sport Bulgaria,,,,
Nova Sport Serbia,,,,
Nova Sports 1 Greece,,,Novasports1.gr,0.917
Nova Sports 2 Greece,,,Novasports2.gr,0.917
Nova Sports 3 Greece,,,Novasports3.gr,0.917
Nova Sports 4 Greece,,,Novasports4.gr,0.917
Nova Sports 5 Greece,,,Novasports5.gr,0.917
Nova Sports 6 Greece,,,Novasports6.gr,0.917
Nova Sports Premier League Greece,,,Novasports.Premier.League..gr,0.980
Nova Sports Start Greece,,,Novasports.Start.gr,0.970
Nova Sports Prime Greece,,,Novasports.Prime.gr,0.970
Nova Sports News Greece,,,Novasports.News.gr,0.968
Nick Music,Nick.Music.(BIH).ba,exact,,
NESN USA,,,,
NBC USA,NBC.West.Stream.us2,exact,,
NBA TV USA,NBA.TV.HD.us2,exact,,
NBC Sports Philadelphia,NBC.Sports.Philadelphia.HD.us2,exact,,
NFL Network,NFL.Dummy.us,exact,,
NBC Sports Bay Area,NBC.Sports.Bay.Area.HD.us2,exact,,
NBC Sports Boston,NBC.Sports.Boston.HD.us2,exact,,
NBC Sports California,NBC.Sports.California.SAT.us2,exact,,
NBCNY USA,,,,
Nova TV Bulgaria,,,,
